"","Target","Correlation","Slope","r","p","q"
"1","HTR1A","HSF1",0.177914513120782,0.170155691279022,5.89428090610761e-06,0.00122895756892344
"2","HTR1A","RORC",0.17217193592205,0.151731494647127,5.49496116218939e-05,0.00763799601544326
"3","HTR1A","ZNF772",-0.14559097848776,-0.160809770478632,0.000158710244155607,0.016545542953222
"4","HTR1A","RASL10A",0.113740077787327,0.125613570601612,0.000851596423725956,0.0265457338797392
"5","HTR1A","RAB7A",-0.111681918075392,-0.123741377558687,0.00101854134790366,0.0265457338797392
"6","HTR1A","TBX22",0.108385760405381,0.147095064392708,0.000558132187682751,0.0265457338797392
"7","HTR1A","HOXA11",0.0974299652554126,0.124320698284141,0.000972044651567977,0.0265457338797392
"8","HTR1A","TCF15",0.114499268670526,0.130994549157703,0.000708467854015897,0.0265457338797392
"9","HTR1A","ZIM3",0.139276830475048,0.141554491655167,0.000900694989416692,0.0265457338797392
"10","HTR1A","ESRRG",0.136917745729513,0.135391283842309,0.000324588383278801,0.0265457338797392
"11","HTR1A","ZNF578",0.123578993215529,0.146666818308692,0.000579511768384178,0.0265457338797392
"12","HTR1A","NEUROD6",-0.13945973340139,-0.125894971845381,0.000835982820567645,0.0265457338797392
"13","HTR1A","TLX1",0.136728570476303,0.128434023360556,0.000653142226240683,0.0265457338797392
"14","HTR1A","OVOL1",0.139265000227234,0.128670356729091,0.000638163592112472,0.0265457338797392
"15","HTR1A","ATF1",-0.127196737139143,-0.124134029733424,0.000989469288555124,0.0265457338797392
"16","HTR1A","HOXA6",0.0904124105716739,0.120863382799884,0.00134557886071758,0.0322265483952464
"17","HTR1A","HOXA3",0.129388608841724,0.119993954016006,0.00145835340596877,0.0322265483952464
"18","HTR1A","MITF",-0.102604009968052,-0.119362513549142,0.00154563781272165,0.0322265483952464
"19","HTR1A","HOXB3",0.126119139283907,0.11986080809322,0.0014763720024011,0.0322265483952464
"20","HTR1A","RERG",0.098666180374056,0.109063592750561,0.00381392352926312,0.061898036078894
"21","HTR1A","PPARA",0.0670619755959622,0.111532081787619,0.00400778650870537,0.061898036078894
"22","HTR1A","ZBTB38",0.0996483717600566,0.15169759655615,0.00318994579602134,0.061898036078894
"23","HTR1A","SOX10",-0.0787538163902088,-0.108608534842594,0.00398999063927329,0.061898036078894
"24","HTR1A","ISX",0.138752761494664,0.123378722902703,0.00385200752105284,0.061898036078894
"25","HTR1A","SPI1",-0.10690383353614,-0.109045640232117,0.00384497322943726,0.061898036078894
"26","HTR1A","STAT3",0.113776597116441,0.110812988950706,0.00330608122659336,0.061898036078894
"27","HTR1A","ZNF607",0.0821829111433107,0.107407415591984,0.00441435264100214,0.065742323260639
"28","HTR1A","E2F3",0.0922001065257406,0.106702809405688,0.00468189193394021,0.0673223771190713
"29","HTR1A","NR1D1",0.0931064656441806,0.106204202743219,0.00487997235044979,0.0678316156712521
"30","HTR1A","NR3C1",0.111254585835441,0.105471906500294,0.00518461829533623,0.0697414783598455
"31","HTR1A","ZNF223",-0.108004644406333,-0.118567752721479,0.00549437898235382,0.0715986261137983
"32","HTR1A","E2F1",0.106788241649871,0.104297898860337,0.00570893196553581,0.0721401402917707
"33","HTR1A","MYCL",0.107684174876053,0.102992403538833,0.00634760390468,0.0776753861819767
"34","HTR1A","PITX2",-0.1089585002018,-0.102661203398764,0.00651951682582538,0.0776753861819767
"35","HTR1A","GATA1",0.100738369685331,0.104758411207736,0.00689680072543482,0.0798879417362866
"36","HTR1A","XBP1",0.101190408055522,0.101265810439366,0.00729060423759742,0.0816984059266075
"37","HTR1A","ZNF28",-0.146265908362924,-0.143856776780084,0.00744493866957095,0.0816984059266075
"38","HTR1A","ZSCAN2",0.0996516961635614,0.113245685075018,0.00802377521486084,0.0845289478914787
"39","HTR1A","ZNF3",0.0966025187832736,0.0999236670668375,0.00810829236369101,0.0845289478914787
"40","HTR1A","ZHX3",-0.103340834564077,-0.112215817399131,0.00861908387095905,0.0876623896143884
"41","HTR1A","ZNF560",-0.0995545906330272,-0.109567711709331,0.0103343700190905,0.100219355766529
"42","HTR1A","ONECUT1",0.109292056893007,0.0969075106648763,0.0102515156676634,0.100219355766529
"43","HTR1A","RAB11A",0.0952180614501056,0.0962484306939383,0.0107819901235952,0.102183860944073
"44","HTR1A","NFYC",0.100913819327384,0.107476397211381,0.0118964810407143,0.10243665387573
"45","HTR1A","FOXN1",0.090420848970717,0.0947294695213545,0.0120369209590187,0.10243665387573
"46","HTR1A","ZNF580",0.151190720380664,0.144638678211608,0.0118569172219723,0.10243665387573
"47","HTR1A","SP100",0.0985774795057096,0.0957877794081818,0.0111670741027281,0.10243665387573
"48","HTR1A","GLI3",0.0972411571261991,0.0948335626077259,0.0120037412840545,0.10243665387573
"49","HTR1A","TWIST2",0.10956166160814,0.0929506103573101,0.0138188644070195,0.111097923108657
"50","HTR1A","ZEB1",0.0944832595110547,0.0931167071316309,0.0136495490714141,0.111097923108657
"51","HTR1A","ZNF154",0.104847026286629,0.105174592146187,0.0138539376538373,0.111097923108657
"52","HTR1A","MNT",0.0801061014993726,0.092245263917594,0.0145586668606229,0.11454649209207
"53","HTR1A","ZNF281",-0.0987076123378577,-0.102452320811097,0.0165305132903837,0.12412395929915
"54","HTR1A","NFATC3",0.0934713689524849,0.0907835756482637,0.0162034918224098,0.12412395929915
"55","HTR1A","LHX2",0.0932690682351651,0.0903936467196547,0.016668924989814,0.12412395929915
"56","HTR1A","FOXA3",0.0627182222245115,0.089133969823872,0.0182535061786605,0.132570157409236
"57","HTR1A","TEF",0.0771997686106198,0.088992816527584,0.018439014699606,0.132570157409236
"58","HTR1A","ZNF45",0.0951213398468714,0.100302047689828,0.0189546906096211,0.133967898037492
"59","HTR1A","FOSL2",0.0850496012418174,0.0868286396980499,0.0214963652429581,0.149399738438559
"60","HTR1A","CEBPE",0.0838872315206314,0.0968347880679751,0.023517646089967,0.160768170811741
"61","HTR1A","TP73",0.0837666092508681,0.0852522607923082,0.0239920987247247,0.161366212390487
"62","HTR1A","FOXM1",0.0757576970677422,0.0844015102668275,0.0254404025738131,0.168391236083811
"63","HTR1A","ZEB2",-0.0699845469166323,-0.0834763395482111,0.0271004816830299,0.171176202960459
